6.9063	6	1.5774
6.9018	6.0998	1.5795
6.8882	6.1987	1.5858
6.8658	6.2955	1.5963
6.8348	6.3894	1.6107
6.7954	6.4794	1.6291
6.748	6.5646	1.6512
6.6932	6.6442	1.6768
6.6314	6.7174	1.7056
6.5634	6.7833	1.7373
6.4897	6.8415	1.7717
6.4111	6.8912	1.8083
6.3284	6.932	1.8469
6.2424	6.9636	1.887
6.154	6.9854	1.9282
6.0641	6.9975	1.9701
5.9735	6.9996	2.0123
5.8832	6.9917	2.0545
5.7941	6.9738	2.096
5.707	6.9463	2.1366
5.6228	6.9093	2.1759
5.5425	6.8632	2.2134
5.4666	6.8085	2.2487
5.3961	6.7457	2.2816
5.3317	6.6755	2.3116
5.2739	6.5985	2.3386
5.2234	6.5155	2.3621
5.1806	6.4274	2.3821
5.1461	6.335	2.3982
5.12	6.2392	2.4103
5.1028	6.1411	2.4184
5.0945	6.0416	2.4223
5.0952	5.9416	2.4219
5.105	5.8423	2.4173
5.1238	5.7445	2.4086
5.1513	5.6492	2.3958
5.1873	5.5575	2.379
5.2314	5.4702	2.3584
5.2831	5.3881	2.3343
5.3421	5.3122	2.3068
5.4076	5.2432	2.2762
5.479	5.1817	2.2429
5.5557	5.1284	2.2072
5.6368	5.0838	2.1694
5.7215	5.0484	2.1299
5.809	5.0225	2.0891
5.8984	5.0063	2.0474
5.9888	5.0001	2.0052
6.0793	5.0038	1.963
6.169	5.0175	1.9212
6.2571	5.0411	1.8801
6.3426	5.0742	1.8403
6.4246	5.1165	1.802
6.5024	5.1677	1.7657
6.5752	5.2272	1.7318
6.6423	5.2945	1.7005
6.7029	5.3687	1.6722
6.7565	5.4493	1.6472
6.8026	5.5354	1.6258
6.8406	5.6261	1.608
6.8702	5.7206	1.5942
6.8911	5.8178	1.5845
6.9032	5.9169	1.5788
